,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Foreign_worker,Savings_account_balance,Balance_in_existing_bank_account_(lower_limit_of_bucket),Balance_in_existing_bank_account_(upper_limit_of_bucket),Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
45,35,female,divorced/separated/married,1,own,4,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Low,0,0,11,new vehicle,1393000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
46,39,male,single,1,own,4,skilled employee / official,7 years,4 years,1,High,0,0,36,electronic equipment,2299000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
47,23,female,divorced/separated/married,1,rent,2,unemployed / unskilled - non-resident,1 year,0 year,1,High,0,0,6,used vehicle,1352000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
48,39,male,single,1,own,4,unskilled - resident,1 year,4 years,1,Low,0,0,11,new vehicle,7228000,1,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
49,28,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Medium,0,0,12,electronic equipment,2073000,4,real estate,1,0,1,existing loans paid back duly till now,Low Risk
50,29,male,single,1,own,2,unskilled - resident,0 year,1 year,1,Low,0,2 lac,24,FF&E,2333000,4,building society savings agreement/life insurance,0,0,1,delay in paying off loans in the past,Low Risk
51,30,male,single,1,own,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,2 lac,27,used vehicle,5965000,1,car or other,0,0,2,delay in paying off loans in the past,Low Risk
52,25,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,12,electronic equipment,1262000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
53,31,male,single,1,own,1,skilled employee / official,1 year,4 years,1,Low,0,0,18,used vehicle,3378000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
54,57,male,single,1,for free,4,skilled employee / official,7 years,4 years,1,Low,0,2 lac,36,new vehicle,2225000,4,car or other,0,0,2,delay in paying off loans in the past,High Risk
55,26,male,single,2,own,2,unskilled - resident,1 year,4 years,1,Low,0,0,6,new vehicle,783000,1,real estate,0,1,1,all loans at this bank paid back duly,Low Risk
56,52,male,single,1,own,1,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,2 lac,12,electronic equipment,6468000,2,car or other,0,0,1,existing loans paid back duly till now,High Risk
57,31,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,36,electronic equipment,9566000,2,car or other,0,0,2,critical/pending loans at other banks,Low Risk
58,23,female,divorced/separated/married,1,own,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,2 lac,0,18,new vehicle,1961000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
59,23,female,divorced/separated/married,1,rent,4,unskilled - resident,0 year,1 year,1,Low,0,0,36,FF&E,6229000,4,car or other,1,0,2,critical/pending loans at other banks,High Risk
60,27,male,married/widowed,1,own,1,skilled employee / official,1 year,4 years,1,Low,0,2 lac,9,business,1391000,2,real estate,0,0,1,existing loans paid back duly till now,Low Risk
61,50,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,2 lac,15,electronic equipment,1537000,4,real estate,0,1,2,critical/pending loans at other banks,Low Risk
62,61,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,2 lac,36,business,1953000,4,car or other,0,0,1,no loans taken/all loans paid back duly,High Risk
63,25,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,2 lac,48,business,14421000,2,car or other,0,0,1,no loans taken/all loans paid back duly,High Risk
64,26,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1 year,1,Low,0,0,24,electronic equipment,3181000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
65,48,male,single,2,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,27,repair costs,5190000,4,building society savings agreement/life insurance,0,0,4,existing loans paid back duly till now,Low Risk
66,29,female,divorced/separated/married,1,own,2,skilled employee / official,0 year,1 year,1,Low,0,0,12,electronic equipment,2171000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
67,22,male,married/widowed,1,own,1,skilled employee / official,1 year,4 years,1,Very high,0,2 lac,12,new vehicle,1007000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
68,37,male,single,1,for free,4,skilled employee / official,1 year,4 years,1,Low,0,0,36,education,1819000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
69,25,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,1,Low,0,0,36,electronic equipment,2394000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
70,30,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,36,used vehicle,8133000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
71,46,male,single,1,rent,2,unskilled - resident,7 years,4 years,1,Low,0,0,7,electronic equipment,730000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
72,51,male,single,2,for free,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,8,electronic equipment,1164000,3,car or other,0,0,2,critical/pending loans at other banks,Low Risk
73,41,female,divorced/separated/married,1,own,1,unskilled - resident,4 years,7 years,1,Low,0,2 lac,42,business,5954000,2,real estate,0,0,2,critical/pending loans at other banks,Low Risk
74,40,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,36,education,1977000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
75,66,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,12,used vehicle,1526000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
76,34,male,single,1,own,3,skilled employee / official,0 year,1 year,1,Low,0,0,42,electronic equipment,3965000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
77,51,male,single,1,own,4,skilled employee / official,4 years,7 years,1,Low,0,2 lac,11,electronic equipment,4771000,2,building society savings agreement/life insurance,0,0,1,delay in paying off loans in the past,Low Risk
78,39,male,single,2,own,2,unskilled - resident,1 year,4 years,1,Low,0,0,54,used vehicle,9436000,2,building society savings agreement/life insurance,0,0,1,no loans taken/all loans paid back duly,Low Risk
79,22,male,married/widowed,1,own,1,skilled employee / official,0 year,1 year,1,Low,0,2 lac,30,FF&E,3832000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
80,44,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,1,Low,0,0,24,electronic equipment,5943000,1,car or other,0,0,2,existing loans paid back duly till now,High Risk
81,47,male,single,1,own,3,skilled employee / official,7 years,4 years,1,High,0,0,15,electronic equipment,1213000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
82,24,female,divorced/separated/married,1,rent,4,unskilled - resident,1 year,4 years,1,Medium,0,0,18,business,1568000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
83,58,female,divorced/separated/married,1,own,4,unskilled - resident,7 years,4 years,1,Low,0,0,24,electronic equipment,1755000,4,real estate,0,1,1,existing loans paid back duly till now,Low Risk
84,52,male,single,1,own,4,unskilled - resident,7 years,4 years,1,Low,0,0,10,electronic equipment,2315000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
85,29,female,divorced/separated/married,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,0,0,12,business,1412000,4,real estate,0,1,2,critical/pending loans at other banks,Low Risk
86,27,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,1,Low,0,2 lac,18,FF&E,1295000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
87,47,male,single,2,for free,4,skilled employee / official,1 year,4 years,1,Medium,0,2 lac,36,education,12612000,1,car or other,0,0,1,existing loans paid back duly till now,High Risk
88,30,male,single,2,own,3,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Medium,0,0,18,new vehicle,2249000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
89,28,male,single,1,own,3,skilled employee / official,4 years,7 years,1,Low,0,0,12,repair costs,1108000,4,real estate,0,0,2,no loans taken/all loans paid back duly,High Risk
90,56,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,12,electronic equipment,618000,4,real estate,0,0,1,critical/pending loans at other banks,Low Risk
91,54,male,single,1,own,3,skilled employee / official,7 years,4 years,1,Low,0,0,12,used vehicle,1409000,4,real estate,0,0,1,critical/pending loans at other banks,Low Risk
92,33,female,divorced/separated/married,2,own,3,unskilled - resident,7 years,4 years,1,Low,0,0,12,electronic equipment,797000,4,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,High Risk
93,20,male,single,1,rent,4,skilled employee / official,7 years,4 years,1,Low,2 lac,0,24,FF&E,3617000,4,car or other,1,0,2,critical/pending loans at other banks,Low Risk
94,54,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Very high,0,2 lac,12,new vehicle,1318000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
95,58,male,single,1,rent,4,skilled employee / official,0 year,1 year,1,Low,0,2 lac,54,business,15945000,3,car or other,0,0,1,no loans taken/all loans paid back duly,High Risk
96,61,female,divorced/separated/married,1,own,2,skilled employee / official,4 years,7 years,1,Low,0,0,12,education,2012000,4,car or other,0,0,1,critical/pending loans at other banks,Low Risk
97,34,male,single,1,own,4,skilled employee / official,1 year,4 years,1,Medium,0,2 lac,18,business,2622000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
98,36,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,2 lac,36,electronic equipment,2337000,4,real estate,0,0,1,critical/pending loans at other banks,Low Risk
99,36,male,single,2,rent,4,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Low,0,2 lac,20,used vehicle,7057000,3,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,Low Risk
100,41,male,married/widowed,1,rent,4,unskilled - resident,7 years,4 years,1,Medium,0,0,24,new vehicle,1469000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
101,24,male,single,1,rent,4,skilled employee / official,4 years,7 years,1,Low,0,2 lac,36,electronic equipment,2323000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
102,24,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,6,electronic equipment,932000,3,real estate,0,0,1,delay in paying off loans in the past,Low Risk
103,35,male,single,1,rent,3,skilled employee / official,4 years,7 years,1,Low,0,2 lac,9,FF&E,1919000,4,car or other,0,0,1,critical/pending loans at other banks,Low Risk
104,26,male,married/widowed,1,rent,4,skilled employee / official,0 year,1 year,1,Low,0,0,12,used vehicle,2445000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
105,39,male,single,2,own,3,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,0,2 lac,24,electronic equipment,11938000,2,car or other,1,0,2,critical/pending loans at other banks,High Risk
106,39,male,single,2,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,18,new vehicle,6458000,2,car or other,0,0,2,all loans at this bank paid back duly,High Risk
107,32,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Low,0,2 lac,12,new vehicle,6078000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
108,30,female,divorced/separated/married,1,own,2,skilled employee / official,0 year,1 year,0,Low,0,0,24,FF&E,7721000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
109,35,male,married/widowed,1,own,2,skilled employee / official,7 years,4 years,1,High,0,2 lac,14,business,1410000,1,real estate,0,0,1,existing loans paid back duly till now,Low Risk
110,31,male,divorced/separated,2,own,2,skilled employee / official,7 years,4 years,1,Medium,0,2 lac,6,business,1449000,1,car or other,0,0,2,delay in paying off loans in the past,Low Risk
111,23,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,1,Low,2 lac,0,15,education,392000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
112,28,male,single,1,rent,3,unskilled - resident,4 years,7 years,1,Low,0,2 lac,18,new vehicle,6260000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
113,25,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,36,new vehicle,7855000,4,real estate,0,0,2,critical/pending loans at other banks,High Risk
114,35,male,married/widowed,1,own,1,skilled employee / official,7 years,4 years,1,High,0,0,12,electronic equipment,1680000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
115,47,male,single,1,own,1,skilled employee / official,7 years,4 years,1,Low,0,0,48,electronic equipment,3578000,4,real estate,0,0,1,critical/pending loans at other banks,Low Risk
116,30,female,divorced/separated/married,1,own,3,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Low,0,0,42,electronic equipment,7174000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
117,27,female,divorced/separated/married,1,rent,3,skilled employee / official,0 year,1 year,0,Low,0,0,10,FF&E,2132000,2,real estate,1,0,2,critical/pending loans at other banks,Low Risk
118,23,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,1,High,0,0,33,FF&E,4281000,1,car or other,0,0,2,critical/pending loans at other banks,High Risk
119,36,male,divorced/separated,1,own,3,management / self-employed / highly qualified employee / officer,4 years,7 years,1,High,0,2 lac,12,new vehicle,2366000,3,car or other,0,0,1,critical/pending loans at other banks,Low Risk
120,25,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,21,electronic equipment,1835000,3,real estate,0,0,2,existing loans paid back duly till now,High Risk
121,41,female,divorced/separated/married,1,rent,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,24,used vehicle,3868000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
122,24,male,single,1,rent,2,unskilled - resident,1 year,4 years,1,Low,0,0,12,FF&E,1768000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
123,63,male,single,1,for free,4,skilled employee / official,7 years,4 years,1,Low,2 lac,0,10,new vehicle,781000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
124,27,female,divorced/separated/married,1,rent,3,skilled employee / official,0 year,1 year,1,Low,0,2 lac,18,FF&E,1924000,4,real estate,0,0,1,existing loans paid back duly till now,High Risk
125,30,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,12,new vehicle,2121000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
126,40,male,married/widowed,1,own,2,unskilled - resident,1 year,4 years,1,Low,0,0,12,electronic equipment,701000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
127,30,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,2 lac,12,repair costs,639000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
128,34,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,2 lac,12,used vehicle,1860000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
129,29,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,12,new vehicle,3499000,3,real estate,1,0,2,critical/pending loans at other banks,High Risk
130,24,female,divorced/separated/married,1,own,2,skilled employee / official,4 years,7 years,1,Low,0,2 lac,48,new vehicle,8487000,1,car or other,0,0,1,existing loans paid back duly till now,Low Risk
131,29,male,single,1,own,3,skilled employee / official,1 year,4 years,1,Low,0,0,36,education,6887000,4,building society savings agreement/life insurance,0,0,1,delay in paying off loans in the past,High Risk
132,27,male,single,1,own,3,unskilled - resident,0 year,1 year,1,Low,0,0,15,FF&E,2708000,2,building society savings agreement/life insurance,0,0,2,existing loans paid back duly till now,Low Risk
133,47,male,single,1,for free,4,skilled employee / official,1 year,4 years,1,Low,0,0,18,FF&E,1984000,4,car or other,0,0,2,existing loans paid back duly till now,Low Risk
134,21,female,divorced/separated/married,1,own,4,skilled employee / official,4 years,7 years,1,Medium,0,0,60,electronic equipment,10144000,2,real estate,0,0,1,existing loans paid back duly till now,Low Risk
135,38,female,divorced/separated/married,1,own,2,skilled employee / official,7 years,4 years,1,Low,0,0,12,electronic equipment,1240000,4,real estate,0,0,2,critical/pending loans at other banks,Low Risk
136,27,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Very high,0,0,27,used vehicle,8613000,2,car or other,0,0,2,delay in paying off loans in the past,Low Risk
137,66,male,single,1,own,3,unskilled - resident,1 year,4 years,1,High,0,2 lac,12,electronic equipment,766000,4,real estate,0,0,1,existing loans paid back duly till now,High Risk
138,35,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Low,0,2 lac,15,electronic equipment,2728000,4,real estate,0,1,3,critical/pending loans at other banks,Low Risk
139,44,female,divorced/separated/married,1,rent,2,unskilled - resident,1 year,4 years,1,Low,2 lac,0,12,electronic equipment,1881000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
140,27,male,married/widowed,1,own,2,unemployed / unskilled - non-resident,0 year,1 year,0,Very high,2 lac,0,6,new vehicle,709000,2,real estate,0,0,1,existing loans paid back duly till now,Low Risk
141,30,female,divorced/separated/married,1,own,1,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Low,0,2 lac,36,electronic equipment,4795000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
142,27,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,0,0,27,electronic equipment,3416000,3,car or other,0,0,1,existing loans paid back duly till now,Low Risk
143,22,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,18,FF&E,2462000,2,car or other,0,0,1,existing loans paid back duly till now,High Risk
144,23,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1 year,1,Low,0,0,21,FF&E,2288000,4,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,Low Risk
145,30,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Medium,0,2 lac,48,business,3566000,4,car or other,0,0,1,all loans at this bank paid back duly,Low Risk
146,39,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,6,new vehicle,860000,1,car or other,0,0,2,critical/pending loans at other banks,Low Risk
147,51,female,divorced/separated/married,1,own,3,skilled employee / official,4 years,7 years,1,Medium,0,0,12,new vehicle,682000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
148,28,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,36,FF&E,5371000,3,building society savings agreement/life insurance,0,1,2,critical/pending loans at other banks,Low Risk
149,46,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Very high,0,0,18,electronic equipment,1582000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
150,42,male,single,2,for free,4,skilled employee / official,7 years,4 years,1,Medium,0,0,6,electronic equipment,1346000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
151,38,male,single,1,own,4,skilled employee / official,1 year,4 years,0,Low,0,0,10,electronic equipment,1924000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
152,24,male,single,1,own,1,skilled employee / official,1 year,4 years,1,Low,2 lac,0,36,electronic equipment,5848000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
